tested_parameter,parameter_value,final_nll_tpd,final_accumulated_waste_ton,final_remaining_capacity_ton,final_overload_accumulation_ton,final_time_to_overload_year
waste_growth_rate_per_year,-0.1,0.0,433065.4850346021,-12065.485034602112,12065.485034602112,0.0
waste_growth_rate_per_year,0.0,13.0,468450.0,-47450.0,47450.0,0.0
waste_growth_rate_per_year,0.1,59.218531342900064,539621.6635717157,-118621.6635717157,118621.6635717157,0.0
waste_growth_rate_per_year,0.2,163.56035624959992,664090.7142063533,-243090.7142063533,243090.7142063533,0.0
treatment_improvement_rate,-0.2,16.0,479400.0,-58400.0,58400.0,0.0
treatment_improvement_rate,-0.1,14.5,473925.0,-52925.0,52925.0,0.0
treatment_improvement_rate,0.0,13.0,468450.0,-47450.0,47450.0,0.0
treatment_improvement_rate,0.1,11.5,462975.0,-41975.0,41975.0,0.0
treatment_improvement_rate,0.2,10.0,457500.0,-36500.0,36500.0,0.0
treatment_improvement_rate,0.3,8.5,452025.0,-31025.0,31025.0,0.0
diversion_improvement_rate,-0.2,13.2,469180.0000000425,-48180.00000004249,48180.00000004249,0.0
diversion_improvement_rate,-0.1,13.1,468814.999999915,-47814.99999991502,47814.99999991502,0.0
diversion_improvement_rate,0.0,13.0,468450.0,-47450.0,47450.0,0.0
diversion_improvement_rate,0.1,12.9,468085.000000085,-47085.00000008498,47085.00000008498,0.0
diversion_improvement_rate,0.2,12.8,467719.9999999575,-46719.99999995751,46719.99999995751,0.0
diversion_improvement_rate,0.3,12.7,467355.0000000425,-46355.00000004249,46355.00000004249,0.0
residual_restriction_rate,0.0,13.0,468450.0,-47450.0,47450.0,0.0
residual_restriction_rate,0.1,11.700000000000001,463705.0000000425,-42705.00000004249,42705.00000004249,0.0
residual_restriction_rate,0.2,10.4,458960.000000085,-37960.00000008498,37960.00000008498,0.0
residual_restriction_rate,0.3,9.1,454214.999999915,-33214.99999991502,33214.99999991502,0.0
residual_restriction_rate,0.4,7.8,449469.9999999575,-28469.99999995751,28469.99999995751,0.0
